,word,emotion,sentiment
2295,cohesive,trust,positive
2296,cohort,,positive
2297,coil,,
2298,coin,,
2299,coincide,,
2300,coincidence,surprise,
2301,coincident,,positive
2302,cold,,negative
2303,coldly,,negative
2304,coldness,anger,negative
2305,colic,,negative
2306,collaborate,,positive
2307,collaboration,,positive
2308,collaborator,trust,
2309,collapse,disgust,negative
2310,collar,,
2311,collateral,trust,
2312,colleague,,positive
2313,collect,,
2314,collectively,trust,positive
2315,collide,,negative
2316,collie,,
2317,collision,anger,negative
2318,collocation,,
2319,collude,,negative
2320,collusion,anger,negative
2321,colonel,trust,positive
2322,colony,,
2323,coloration,,
2324,colorful,,positive
2325,colorless,,
2326,colors,,
2327,colossal,,positive
2328,coma,fear,negative
2329,comatose,fear,negative
2330,combat,anger,negative
2331,combatant,anger,negative
2332,combative,anger,negative
2333,combination,,
2334,combine,,
2335,combust,,negative
2336,combustible,,
2337,combustion,,
2338,come,,
2339,comeback,,positive
2340,comedy,,negative
2341,comely,,positive
2342,comestible,,positive
2343,comet,,
2344,comfort,anticipation,positive
2345,comfortable,,positive
2346,comfortably,,positive
2347,comforting,,positive
2348,comfy,,positive
2349,comic,,positive
2350,comical,,negative
2351,coming,anticipation,
2352,command,,
2353,commandant,trust,positive
2354,commander,,
2355,commanding,trust,positive
2356,commemorate,anticipation,positive
2357,commemoration,anticipation,positive
2358,commemorative,anticipation,positive
2359,commence,,
2360,commencement,,positive
2361,commend,,positive
2362,commendable,joy,positive
2363,commendably,,positive
2364,commendation,,positive
2365,commensurate,,positive
2366,comment,,
2367,commentator,,positive
2368,commerce,trust,
2369,commercial,,
2370,commiserate,,negative
2371,commissary,,
2372,commission,trust,positive
2373,commit,,
2374,commitment,,positive
2375,committal,sadness,negative
2376,committed,trust,positive
2377,committee,trust,
2378,commodious,,positive
2379,commodore,trust,positive
2380,common,,positive
2381,commoner,,
2382,commonplace,anticipation,negative
2383,commons,,
2384,commonsense,,positive
2385,commonsensible,,positive
2386,commonsensibly,,positive
2387,commonsensical,,positive
2388,commonwealth,trust,positive
2389,commotion,anger,negative
2390,commotions,,negative
2391,communal,,positive
2392,commune,,positive
2393,communicate,trust,positive
2394,communication,trust,
2395,communicative,,positive
2396,communion,joy,positive
2397,communism,anger,negative
2398,communist,,negative
2399,community,,positive
2400,commutation,,positive
2401,commute,,positive
2402,compact,trust,positive
2403,compactly,,positive
2404,compactness,,
2405,companion,joy,positive
2406,companionship,,positive
2407,company,,positive
2408,compare,,
2409,comparison,,
2410,compass,trust,
2411,compassion,fear,positive
2412,compassionate,,positive
2413,compatibility,,positive
2414,compatible,,positive
2415,compel,,negative
2416,compelling,,positive
2417,compensate,anticipation,positive
2418,compensation,,positive
2419,compensatory,,positive
2420,compete,,
2421,competence,trust,positive
2422,competency,trust,positive
2423,competent,trust,positive
2424,competition,anticipation,negative
2425,competitive,,positive
2426,competitiveness,,positive
2427,competitor,,
2428,compilation,,
2429,compile,,
2430,complacency,,positive
2431,complacent,,negative
2432,complain,anger,negative
2433,complained,,negative
2434,complaining,,negative
2435,complains,,negative
2436,complaint,anger,negative
2437,complaints,,negative
2438,complement,anticipation,positive
2439,complementary,,positive
2440,complemented,,positive
2441,complements,,positive
2442,complete,,positive
2443,completed,,
2444,completely,,positive
2445,completeness,,positive
2446,completing,anticipation,positive
2447,completion,anticipation,positive
2448,complex,,negative
2449,complexed,,negative
2450,complexion,,
2451,complexity,,negative
2452,compliance,trust,positive
2453,compliant,,positive
2454,complicate,anger,negative
2455,complicated,,negative
2456,complication,,negative
2457,complicit,,negative
2458,complicity,,negative
2459,compliment,anticipation,positive
2460,complimentary,,positive
2461,comply,,
2462,composed,,positive
2463,composer,,positive
2464,compost,disgust,negative
2465,composure,,positive
2466,compound,,
2467,comprehend,,positive
2468,comprehension,,positive
2469,comprehensive,,positive
2470,compress,anger,
2471,compression,,
2472,comprise,,
2473,compromise,,positive
2474,compromises,,positive
2475,comptroller,trust,
2476,compulsion,anger,negative
2477,compulsive,,negative
2478,compulsory,,negative
2479,computation,,
2480,compute,,
2481,comrade,trust,positive
2482,comrades,,positive
2483,concave,,
2484,conceal,sadness,negative
2485,concealed,anticipation,negative
2486,concealment,anger,negative
2487,concede,,negative
2488,conceded,,negative
2489,conceit,,negative
2490,conceited,,negative
2491,conceivable,,positive
2492,conceive,,
2493,concen,,negative
2494,concens,,negative
2495,concentrate,,
2496,concentration,,
2497,concentric,,positive
2498,conception,,
2499,concern,,negative
2500,concerned,fear,negative
2501,concerning,,
2502,concerns,,negative
2503,concert,,
2504,concerted,,
2505,concession,,negative
2506,concessions,,negative
2507,conciliate,,positive
2508,conciliation,joy,positive
2509,conciliatory,,positive
2510,concise,,positive
2511,conclave,,
2512,conclude,,
2513,concluding,,positive
2514,conclusion,,
2515,conclusive,,positive
2516,concoction,,
2517,concord,trust,positive
2518,concordance,trust,positive
2519,concrete,,positive
2520,concur,,positive
2521,concurrent,,
2522,concussion,anger,negative
2523,condemn,anger,negative
2524,condemnable,,negative
2525,condemnation,anger,negative
2526,condemned,,negative
2527,condemns,,negative
2528,condensation,,
2529,condescend,,negative
2530,condescending,,negative
2531,condescendingly,,negative
2532,condescension,anger,negative
2533,condiment,,
2534,condition,,
2535,condolence,sadness,positive
2536,condolences,,negative
2537,condone,,positive
2538,conducive,,positive
2539,conduct,,
2540,conduction,,
2541,conductivity,,positive
2542,conductor,,
2543,cone,,
2544,confederate,trust,positive
2545,confederation,,positive
2546,confer,,positive
2547,confess,trust,negative
2548,confession,anticipation,negative
2549,confessional,fear,
2550,confessions,,negative
2551,confidant,,positive
2552,confide,trust,positive
2553,confidence,fear,positive
2554,confident,joy,positive
2555,confidential,trust,
2556,confidentially,trust,
2557,confine,anger,negative
2558,confined,anger,negative
2559,confinement,anger,negative
2560,confirmation,trust,
2561,confirmed,trust,positive
2562,confiscate,anger,negative
2563,confiscation,,negative
2564,conflagration,anger,negative
2565,conflict,anger,negative
2566,conflicted,,negative
2567,conflicting,,negative
2568,conflicts,,negative
2569,confluence,,
2570,conform,,
2571,conformance,,positive
2572,conformity,trust,
2573,confound,,negative
2574,confounded,,negative
2575,confounding,,negative
2576,confront,anger,negative
2577,confrontation,,negative
2578,confrontational,,negative
2579,confuse,,negative
2580,confused,,negative
2581,confuses,,negative
2582,confusing,,negative
2583,confusion,anger,negative
2584,confusions,,negative
2585,confute,,positive
2586,congenial,,positive
2587,congested,,negative
2588,congestion,,negative
2589,conglomerate,trust,
2590,congratulate,,positive
2591,congratulation,,positive
2592,congratulations,,positive
2593,congratulatory,joy,positive
2594,congregate,,positive
2595,congregation,trust,positive
2596,congress,disgust,
2597,congressman,trust,
2598,congruence,trust,positive
2599,conjecture,anticipation,
2600,conjugal,,
2601,conjunction,,positive
2602,conjure,anticipation,positive
2603,conjuring,,negative
2604,connect,,positive
2605,connection,,
2606,connective,trust,
2607,connoisseur,joy,positive
2608,conquer,,positive
2609,conqueror,,positive
2610,conquest,anger,negative
2611,cons,,negative
2612,conscience,trust,positive
2613,conscientious,trust,positive
2614,consciousness,,positive
2615,conscons,,negative
2616,consecration,anticipation,positive
2617,consensus,,positive
2618,consent,,positive
2619,consequence,,
2620,consequent,anticipation,
2621,consequently,,
2622,conservation,anticipation,positive
2623,conservatism,,
2624,conservative,,negative
2625,conservatory,,
2626,conserve,,positive
2627,consider,,positive
2628,considerable,,positive
2629,considerably,,
2630,considerate,trust,positive
2631,consideration,,positive
2632,consign,,positive
2633,consignee,,
2634,consignment,,
2635,consist,,
2636,consistency,trust,positive
2637,consistent,,positive
2638,consistently,,positive
2639,console,sadness,positive
2640,consolidate,,positive
2641,consonant,,positive
2642,consort,trust,
2643,conspicuous,,negative
2644,conspicuously,,negative
2645,conspiracies,,negative
2646,conspiracy,fear,negative
2647,conspirator,anger,negative
2648,conspiratorial,,negative
2649,conspire,fear,negative
2650,constable,trust,
2651,constancy,trust,positive
2652,constant,trust,positive
2653,constantly,trust,
2654,constellation,,
2655,consternation,anger,negative
2656,constipation,disgust,negative
2657,constitute,trust,
2658,constitutional,trust,positive
2659,constitutions,,
2660,constrain,fear,negative
2661,constrained,,negative
2662,constraint,anger,negative
2663,construct,,positive
2664,construction,,
2665,constructive,,positive
2666,consul,trust,
2667,consult,trust,positive
2668,consultation,,positive
2669,consume,,negative
2670,consummate,,positive
2671,consummation,,
2672,consumption,,
2673,consumptive,,
2674,contact,,positive
2675,contagion,anticipation,negative
2676,contagious,disgust,negative
2677,contain,,
2678,contaminate,disgust,negative
2679,contaminated,disgust,negative
2680,contaminates,,negative
2681,contaminating,,negative
2682,contamination,disgust,negative
2683,contemplate,,
2684,contemplation,,positive
2685,contemplative,,
2686,contemporary,,
2687,contempt,anger,negative
2688,contemptible,anger,negative
2689,contemptuous,anger,negative
2690,contemptuously,,negative
2691,contend,,negative
2692,content,joy,positive
2693,contention,,negative
2694,contentious,anger,negative
2695,contentment,,positive
2696,contest,,
2697,context,,
2698,contiguous,,
2699,continent,,
2700,contingent,anticipation,
2701,continual,,
2702,continually,,
2703,continuation,anticipation,
2704,continue,anticipation,positive
2705,continuing,,
2706,continuity,,positive
2707,continuous,,
2708,contort,,negative
2709,contortions,,negative
2710,contour,,positive
2711,contraband,anger,negative
2712,contract,,
2713,contracted,,negative
2714,contracting,,
2715,contradict,anger,negative
2716,contradiction,,negative
2717,contradictory,,negative
2718,contrariness,,negative
2719,contrary,,negative
2720,contrasted,,negative
2721,contrasty,,positive
2722,contravene,,negative
2723,contravention,,negative
2724,contribute,,positive
2725,contribution,,positive
2726,contributor,trust,positive
2727,contrive,,negative
2728,contrived,,negative
2729,control,,
2730,controversial,anger,negative
2731,controversy,,negative
2732,convection,,
2733,convene,,positive
2734,convenience,,positive
2735,convenient,,positive
2736,conveniently,,positive
2737,convent,trust,positive
2738,convention,,positive
2739,converge,,
2740,convergence,anticipation,
2741,conversant,,positive
2742,conversation,,
2743,conversational,,positive
2744,conversion,,
2745,convert,,positive
2746,convertible,,
2747,convey,,
2748,conveyance,,
2749,conveyancing,trust,
2750,convict,anger,negative
2751,conviction,,negative
2752,convience,,positive
2753,convienient,,positive
2754,convient,,positive
2755,convince,anticipation,positive
2756,convinced,trust,
2757,convincing,trust,positive
2758,convincingly,,positive
2759,convoluted,,negative
2760,coo,,
2761,cooking,,
2762,cool,,positive
2763,cooler,,
2764,coolest,,positive
2765,coolness,,positive
2766,coop,anger,negative
2767,cooperate,,positive
2768,cooperating,trust,positive
2769,cooperation,trust,positive
2770,cooperative,trust,positive
2771,cooperatively,,positive
2772,coordinate,,positive
2773,coordination,,positive
2774,cop,fear,
2775,cope,,
2776,coping,,negative
2777,copy,,negative
2778,copycat,anger,negative
2779,cordial,,positive
2780,corduroy,,
2781,core,,positive
2782,cork,,
2783,corkscrew,,
2784,cornerstone,,positive
2785,cornet,,
2786,corona,,
2787,coronation,joy,positive
2788,coroner,,negative
2789,corporal,,negative
2790,corporation,trust,positive
2791,corporeal,,positive
2792,corps,,
2793,corpse,disgust,negative
2794,corral,,
2795,correct,,positive
2796,correction,,negative
2797,corrective,,positive
2798,correctly,,positive
2799,correctness,trust,
2800,correlation,,
2801,correspondence,anticipation,positive
2802,correspondent,,
2803,corroborate,trust,positive
2804,corroboration,trust,
2805,corrode,,negative
2806,corrosion,,negative
2807,corrosions,,negative
2808,corrosive,fear,negative
2809,corrupt,,negative
2810,corrupted,,negative
2811,corrupting,anger,negative
2812,corruption,disgust,negative
2813,corrupts,,negative
2814,corruptted,,negative
2815,corse,sadness,
2816,cosmetics,,
2817,cosmology,,
2818,cosmopolitan,trust,positive
2819,cost,,
2820,cost-effective,,positive
2821,cost-saving,,positive
2822,costlier,,negative
2823,costly,,negative
2824,costume,,
2825,cosy,,positive
2826,cot,,
2827,cote,,
2828,cotton,,
2829,couch,sadness,
2830,cough,disgust,negative
2831,could,,
2832,council,anticipation,positive
2833,counsel,trust,positive
2834,counsellor,anger,negative
2835,counselor,trust,positive
2836,count,trust,positive
2837,countdown,anticipation,
2838,counter-attack,,positive
2839,counter-attacks,,positive
2840,counter-productive,,negative
2841,counteract,,
2842,counteraction,,
2843,counterproductive,,negative
2844,countess,,positive
2845,countryman,trust,
2846,county,trust,
2847,coup,anger,
2848,coupists,,negative
2849,couple,,
2850,courage,,positive
2851,courageous,fear,positive
2852,courageously,,positive
2853,courageousness,,positive
2854,courier,trust,
2855,coursing,,negative
2856,court,anger,positive
2857,courteous,,positive
2858,courtesy,,positive
2859,courtly,,positive
2860,courtship,anticipation,positive
2861,cove,anticipation,positive
2862,covenant,trust,positive
2863,cover,trust,
2864,covert,,
2865,covet,,negative
2866,coveting,,
2867,covetingly,,
2868,covetous,,negative
2869,covetously,,
2870,cow,,negative
2871,coward,disgust,negative
2872,cowardice,fear,negative
2873,cowardly,fear,negative
2874,cowboy,,
2875,cowhide,,
2876,coy,fear,
2877,coyote,fear,
2878,cozy,,positive
2879,crab,,
2880,crabby,anger,negative
2881,crack,,negative
2882,crackdown,,negative
2883,cracked,anger,negative
2884,cracker,,
2885,cracking,,negative
2886,cracks,,negative
2887,cradle,anticipation,positive
2888,craft,,positive
2889,craftily,,negative
2890,craftly,,negative
2891,craftsman,,positive
2892,crafty,,negative
2893,cram,,
2894,crammed,,
2895,cramp,anticipation,negative
2896,cramped,,negative
2897,cramping,,negative
2898,crank,,negative
2899,cranky,anger,negative
2900,crap,disgust,negative
2901,crappy,,negative
2902,craps,anticipation,negative
2903,crash,fear,negative
2904,crashed,,negative
2905,crashes,,negative
2906,crashing,,negative
2907,crass,,negative
2908,crave,anticipation,positive
2909,craven,,negative
2910,cravenly,,negative
2911,craving,anticipation,positive
2912,crawl,disgust,negative
2913,craze,,negative
2914,crazed,anger,negative
2915,crazily,,negative
2916,craziness,,negative
2917,crazy,anger,negative
2918,creak,,negative
2919,creaking,,negative
2920,creaks,,negative
2921,cream,anticipation,positive
2922,creamer,,
2923,creamy,,
2924,create,joy,positive
2925,creation,,
2926,creative,,positive
2927,creativity,,positive
2928,creator,,
2929,creature,disgust,negative
2930,credence,trust,positive
2931,credential,trust,positive
2932,credentials,,positive
2933,credibility,trust,positive
2934,credible,trust,positive
2935,credit,trust,positive
2936,creditable,trust,positive
2937,credited,,positive
2938,creditor,,
2939,credulous,,negative
2940,creed,,
2941,creek,,
2942,creep,,negative
2943,creeping,anticipation,negative
2944,creeps,,negative
2945,creepy,,negative
2946,cremation,sadness,
2947,crept,,negative
2948,crescendo,anticipation,positive
2949,crew,trust,
2950,crime,anger,negative
2951,criminal,anger,negative
2952,criminality,anger,negative
2953,crimson,,
2954,cringe,disgust,negative
2955,cringed,,negative
2956,cringes,,negative
2957,cripple,fear,negative
2958,crippled,sadness,negative
2959,cripples,,negative
2960,crippling,,negative
2961,crisis,,negative
2962,crisp,trust,negative
2963,crisper,,positive
2964,critic,,negative
2965,critical,,negative
2966,criticism,anger,negative
2967,criticisms,,negative
2968,criticize,anger,negative
2969,criticized,,negative
2970,criticizing,,negative
2971,critics,,negative
2972,critique,,positive
2973,critter,disgust,
2974,croak,,
2975,crock,,
2976,crocodile,fear,
2977,cronyism,,negative
2978,crook,,negative
2979,crooked,,negative
2980,crooks,,negative
2981,cross,anger,negative
2982,crossed,,
2983,crossing,,
2984,crouch,fear,
2985,crouching,fear,negative
2986,crowd,,
2987,crowded,,negative
2988,crowdedness,,negative
2989,crowning,anticipation,positive
2990,crucial,trust,positive
2991,cruciate,,negative
2992,crucifixion,anger,negative
2993,crude,disgust,negative
2994,cruel,anger,negative
2995,crueler,,negative
2996,cruelest,,negative
2997,cruelly,anger,negative
2998,cruelness,,negative
2999,cruelties,,negative
3000,cruelty,anger,negative
3001,cruise,,
3002,cruiser,,
3003,crumble,,negative
3004,crumbling,sadness,negative
3005,crummy,,negative
3006,crumple,,negative
3007,crumpled,,negative
3008,crumples,,negative
3009,crunch,anger,negative
3010,crusade,anger,negative
3011,crusader,,positive
3012,crush,,negative
3013,crushed,anger,negative
3014,crushing,anger,negative
3015,crusty,disgust,negative
3016,cry,sadness,negative
3017,crying,sadness,negative
3018,crypt,fear,negative
3019,crystal,,positive
3020,crystalline,,
3021,crystallization,,
3022,cube,trust,
3023,cuckold,disgust,negative
3024,cuckoo,,negative
3025,cuddle,joy,positive
3026,cue,anticipation,
3027,cuff,,
3028,culinary,trust,positive
3029,cull,,negative
3030,culminate,,positive
3031,culmination,,positive
3032,culpability,,negative
3033,culpable,,negative
3034,culprit,,negative
3035,cult,fear,negative
3036,cultivate,anticipation,positive
3037,cultivated,,positive
3038,cultivation,,positive
3039,culture,,positive
3040,cumbersome,sadness,negative
3041,cumulus,,
3042,cunning,,negative
3043,cunt,,negative
3044,cunts,,negative
3045,cup,,
3046,cupid,,positive
3047,cuplrit,,negative
3048,cupping,disgust,negative
3049,cur,anger,negative
3050,curable,trust,positive
3051,curate,,
3052,curative,,
3053,curb,,
3054,cure,,positive
3055,cure-all,,positive
3056,curfew,,
3057,curiosity,anticipation,positive
3058,curious,,positive
3059,curiously,,positive
3060,curl,,positive
3061,currency,,
3062,current,,
3063,curry,,
3064,curse,anger,negative
3065,cursed,anger,negative
3066,curses,,negative
3067,cursing,anger,negative
3068,cursory,,negative
3069,curt,,negative
3070,curtail,,
3071,curtailment,,
3072,curtain,,
3073,curtsey,,positive
3074,curvilinear,,
3075,cushion,,positive
3076,cushy,,positive
3077,cuss,,negative
3078,cussed,anger,negative
3079,custodian,trust,
3080,custody,trust,
3081,custom,,
3082,customer,,positive
3083,cut,,negative
3084,cute,,positive
3085,cuteness,,positive
3086,cutlery,,
3087,cutter,fear,negative
3088,cutters,,positive
3089,cutthroat,anger,negative
3090,cutting,anger,negative
3091,cyanide,fear,negative
3092,cycle,,
3093,cyclone,fear,negative
3094,cynical,,negative
3095,cynicism,,negative
3096,cyst,fear,negative
3097,cystic,disgust,
3098,cytomegalovirus,sadness,negative
3099,dab,,
3100,dabbling,anger,negative
3101,daemon,anger,negative
3102,daft,disgust,negative
3103,dagger,fear,negative
3104,daily,anticipation,
3105,dainty,,
3106,dairy,,
3107,dale,,
3108,dam,,
3109,damage,anger,negative
3110,damaged,,negative
3111,damages,sadness,negative
3112,damaging,,negative
3113,dame,anger,positive
3114,damn,anger,negative
3115,damnable,,negative
3116,damnably,,negative
3117,damnation,anger,negative
3118,damned,,negative
3119,damning,,negative
3120,damper,,negative
3121,damsel,,
3122,dance,joy,positive
3123,dandruff,,negative
3124,dandy,disgust,negative
3125,danger,fear,negative
3126,dangerous,fear,negative
3127,dangerousness,,negative
3128,dangle,,negative
3129,dank,disgust,
3130,danke,,positive
3131,danken,,positive
3132,dare,anticipation,positive
3133,daring,,positive
3134,daringly,,positive
3135,dark,sadness,negative
3136,darken,fear,negative
3137,darkened,fear,negative
3138,darker,,negative
3139,darkly,,
3140,darkness,anger,negative
3141,darling,joy,positive
3142,darn,,negative
3143,dart,fear,
3144,dash,,negative
3145,dashed,anger,negative
3146,dashing,,positive
3147,dastard,,negative
3148,dastardly,anger,negative
3149,daughter,joy,positive
3150,daunt,,negative
3151,daunting,,negative
3152,dauntingly,,negative
3153,dauntless,,positive
3154,dawdle,,negative
3155,dawn,anticipation,positive
3156,day,,
3157,daybreak,,
3158,daydream,,positive
3159,daydreamer,,positive
3160,daze,,negative
3161,dazed,,negative
3162,dazzle,,positive
3163,dazzled,,positive
3164,dazzling,,positive
3165,deacon,trust,
3166,deactivate,,negative
3167,dead,,negative
3168,dead-cheap,,positive
3169,dead-on,,positive
3170,deadbeat,,negative
3171,deadlock,,negative
3172,deadly,anger,negative
3173,deadweight,,negative
3174,deaf,,negative
3175,deal,anticipation,positive
3176,dealing,,
3177,dealings,trust,
3178,dear,,positive
3179,dearth,,negative
3180,death,anger,negative
3181,debacle,fear,negative
3182,debase,,negative
3183,debasement,,negative
3184,debaser,,negative
3185,debatable,,negative
3186,debate,,positive
3187,debauch,,negative
3188,debaucher,,negative
3189,debauchery,disgust,negative
3190,debenture,anticipation,
3191,debilitate,,negative
3192,debilitating,,negative
3193,debility,,negative
3194,debris,disgust,negative
3195,debt,sadness,negative
3196,debtor,,negative
3197,debts,,negative
3198,decade,,
3199,decadence,,negative
3200,decadent,,negative
3201,decay,fear,negative
3202,decayed,disgust,negative
3203,decease,,
3204,deceased,sadness,negative
3205,deceit,anger,negative
3206,deceitful,disgust,negative
3207,deceitfully,,negative
3208,deceitfulness,,negative
3209,deceive,anger,negative
3210,deceived,anger,negative
3211,deceiver,,negative
3212,deceivers,,negative
3213,deceiving,trust,negative
3214,decency,,positive
3215,decent,,positive
3216,deception,,negative
3217,deceptive,,negative
3218,deceptively,,negative
3219,decide,,
3220,deciduous,,
3221,decimal,,
3222,decipher,,positive
3223,decision,,
3224,decisive,,positive
3225,decisiveness,,positive
3226,declaim,,negative
3227,declaration,,
3228,declaratory,,positive
3229,declare,,
3230,declination,,negative
3231,decline,,negative
3232,declines,,negative
3233,declining,,negative
3234,decompose,disgust,
3235,decomposed,sadness,
3236,decomposition,disgust,negative
3237,decorate,,positive
3238,decoration,,positive
3239,decorative,,positive
3240,decoy,surprise,
3241,decrease,,negative
3242,decreasing,,negative
3243,decree,,
3244,decrement,,negative
3245,decrepit,,negative
3246,decrepitude,,negative
3247,decry,anger,negative
3248,dedicate,,positive
3249,dedicated,,positive
3250,dedication,,positive
3251,deduce,,positive
3252,deduct,,negative
3253,deed,trust,
3254,deem,,
3255,deep,,negative
3256,deepen,,
3257,deepening,,negative
3258,deeply,,
3259,defamation,disgust,negative
3260,defamations,,negative
3261,defamatory,anger,negative
3262,defame,,negative
3263,default,disgust,negative
3264,defeat,,negative
3265,defeated,sadness,negative
3266,defeating,,positive
3267,defeats,,positive
3268,defect,anger,negative
3269,defection,fear,negative
3270,defective,disgust,negative
3271,defects,,negative
3272,defend,fear,positive
3273,defendant,anger,
3274,defended,trust,positive
3275,defender,trust,positive
3276,defending,,positive
3277,defense,anger,positive
3278,defenseless,fear,negative
3279,defensive,,negative
3280,defer,,
3281,deference,trust,positive
3282,deferral,,negative
3283,defiance,anger,negative
3284,defiant,anger,negative
3285,defiantly,,negative
3286,deficiencies,,negative
3287,deficiency,,negative
3288,deficient,,negative
3289,deficit,,negative
3290,defile,,negative
3291,defiler,,negative
3292,define,,
3293,definite,,positive
3294,definitely,,positive
3295,definition,,
3296,definitive,trust,positive
3297,definitively,,positive
3298,deflate,anger,negative
3299,deflation,fear,negative
3300,deflationary,,positive
3301,deflect,,
3302,deflection,,
3303,deform,disgust,negative
3304,deformed,disgust,negative
3305,deformity,disgust,negative
3306,defraud,anger,negative
3307,defrauding,,negative
3308,deft,,positive
3309,defunct,sadness,negative
3310,defy,anger,negative
3311,degeneracy,anger,negative
3312,degenerate,,negative
3313,degenerately,,negative
3314,degeneration,,negative
3315,deginified,,positive
3316,degradation,,negative
3317,degrade,disgust,negative
3318,degrading,disgust,negative
3319,degradingly,,negative
3320,degree,,positive
3321,dehumanization,,negative
3322,dehumanize,,negative
3323,dehydrated,,
3324,deign,,negative
3325,deject,,negative
3326,dejected,,negative
3327,dejectedly,,negative
3328,dejection,,negative
3329,delay,anger,negative
3330,delayed,,negative
3331,delaying,,negative
3332,delays,,negative
3333,delectable,,positive
3334,delegate,trust,positive
3335,delegation,,
3336,deleterious,anger,negative
3337,deletion,,negative
3338,deliberate,,positive
3339,deliberation,,
3340,delicacy,,positive
3341,delicate,,positive
3342,delicious,joy,positive
3343,delight,anticipation,positive
3344,delighted,anticipation,positive
3345,delightful,anticipation,positive
3346,delightfully,,positive
3347,delightfulness,,positive
3348,delinquency,,negative
3349,delinquent,anger,negative
3350,delirious,sadness,negative
3351,delirium,disgust,negative
3352,deliver,,
3353,deliverance,anticipation,positive
3354,delivery,anticipation,positive
3355,dell,,
3356,delude,,negative
3357,deluded,,negative
3358,deluge,fear,negative
3359,delusion,anger,negative
3360,delusional,anger,negative
3361,delusions,,negative
3362,delve,,
3363,demand,anger,negative
3364,demanding,,negative
3365,demands,,
3366,demean,,negative
3367,demeaning,,negative
3368,demeanor,,
3369,demented,fear,negative
3370,dementia,fear,negative
3371,demise,fear,negative
3372,democracy,,positive
3373,democratic,,positive
3374,demolish,anger,negative
3375,demolisher,,negative
3376,demolition,,negative
3377,demon,anger,negative
3378,demonic,anger,negative
3379,demonize,,negative
3380,demonized,,negative
3381,demonizes,,negative
3382,demonizing,,negative
3383,demonstrable,,positive
3384,demonstrate,,
3385,demonstrated,,
3386,demonstration,,
3387,demonstrative,joy,positive
3388,demoralize,,negative
3389,demoralized,fear,negative
3390,demoralizing,,negative
3391,demoralizingly,,negative
3392,demystify,,positive
3393,den,,
3394,denial,,negative
3395,denied,sadness,negative
3396,denies,,negative
3397,denigrate,,negative
3398,denominational,,
3399,denounce,anger,negative
3400,dense,,negative
3401,dent,,negative
3402,dented,,negative
3403,dentistry,fear,
3404,dents,,negative
3405,denunciate,,negative
3406,denunciation,anger,negative
3407,denunciations,,negative
3408,deny,anger,negative
3409,denying,anticipation,negative
3410,depart,anticipation,
3411,departed,sadness,negative
3412,departure,sadness,negative
3413,depend,anticipation,
3414,dependability,,positive
3415,dependable,,positive
3416,dependably,,positive
3417,dependence,fear,negative
3418,dependency,,negative
3419,dependent,trust,negative
3420,deplete,,negative
3421,depletion,,
3422,deplorable,anger,negative
3423,deplorably,,negative
3424,deplore,anger,negative
3425,deploring,,negative
3426,deploringly,,negative
3427,deploy,,
3428,deport,fear,negative
3429,deportation,anger,negative
3430,depose,,
3431,deposit,,
3432,deposition,,
3433,depository,trust,
3434,deprave,,negative
3435,depraved,anger,negative
3436,depravedly,,negative
3437,depravity,anger,negative
3438,deprecate,,negative
3439,depreciate,anger,negative
3440,depreciated,anger,negative
3441,depreciation,fear,negative
3442,depress,fear,negative
3443,depressed,anger,negative
3444,depressing,disgust,negative
3445,depressingly,,negative
3446,depression,sadness,negative
3447,depressions,,negative
3448,depressive,sadness,negative
3449,deprivation,anger,negative
3450,deprive,,negative
3451,deprived,,negative
3452,depth,trust,positive
3453,deputy,trust,
3454,deranged,anger,negative
3455,derelict,,negative
3456,deride,,negative
3457,derision,anger,negative
3458,derisive,,negative
3459,derisively,,negative
3460,derisiveness,,negative
3461,derivation,,
3462,derivative,,
3463,derive,,
3464,dermal,,
3465,dermatologist,trust,
3466,derogation,anger,negative
3467,derogatory,anger,negative
3468,descending,,
3469,descent,fear,
3470,describe,,
3471,descriptive,,positive
3472,descry,,positive
3473,desecrate,,negative
3474,desecration,anger,negative
3475,desert,anger,negative
3476,deserted,anger,negative
3477,desertion,,negative
3478,deserve,anger,positive
3479,deserved,,positive
3480,deservedly,,positive
3481,deserving,,positive
3482,desiccate,,negative
3483,desiccated,,negative
3484,design,,
3485,designate,,
3486,designation,trust,
3487,designer,,positive
3488,desirability,,
3489,desirable,,positive
3490,desire,,positive
3491,desiring,,positive
3492,desirous,,positive
3493,desist,anger,negative
3494,desititute,,negative
3495,desk,,
3496,desolate,,negative
3497,desolately,,negative
3498,desolation,fear,negative
3499,despair,anger,negative
3500,despairing,fear,negative
3501,despairingly,,negative
3502,desperate,,negative
3503,desperately,,negative
3504,desperation,,negative
3505,despicable,anger,negative
3506,despicably,,negative
3507,despise,anger,negative
3508,despised,,negative
3509,despite,,negative
3510,despoil,,negative
3511,despoiler,,negative
3512,despondence,,negative
3513,despondency,,negative
3514,despondent,,negative
3515,despondently,,negative
3516,despot,,negative
3517,despotic,fear,negative
3518,despotism,anger,negative
3519,destabilisation,,negative
3520,destains,,negative
3521,destination,anticipation,positive
3522,destine,,positive
3523,destined,anticipation,positive
3524,destinies,,positive
3525,destiny,,positive
3526,destitute,fear,negative
3527,destitution,,negative
3528,destroy,,negative
3529,destroyed,anger,negative
