EST,Mean TemperatureF, Events
2015-10-9,70,Fog-Rain
2015-10-10,58,
2015-10-11,61,
2015-10-12,67,
2015-10-13,67,
2015-10-14,63,
2015-10-15,58,
2015-10-16,59,
2015-10-17,49,
2015-10-18,44,
2015-10-19,44,
2015-10-20,59,
2015-10-21,67,
2015-10-22,67,
2015-10-23,55,
2015-10-24,49,
2015-10-25,58,Rain
2015-10-26,52,
2015-10-27,52,
2015-10-28,61,Fog-Rain
2015-10-29,65,Rain
2015-10-30,55,
2015-10-31,49,
2015-11-1,60,
2015-11-2,59,
2015-11-3,60,
2015-11-4,63,
2015-11-5,64,Rain
2015-11-6,70,
2015-11-7,63,
2015-11-8,51,
2015-11-9,51,
2015-11-10,54,Rain
2015-11-11,54,Rain
2015-11-12,56,Rain
2015-11-13,52,
2015-11-14,46,
2015-11-15,49,
2015-11-16,59,
2015-11-17,46,
2015-11-18,52,
2015-11-19,61,Rain
2015-11-20,55,
2015-11-21,48,
2015-11-22,49,Rain
2015-11-23,39,
2015-11-24,39,
2015-11-25,43,
2015-11-26,51,
2015-11-27,58,
2015-11-28,53,
2015-11-29,43,
2015-11-30,40,
2015-12-1,48,Rain
2015-12-2,52,Rain
2015-12-3,50,
2015-12-4,47,
2015-12-5,46,
2015-12-6,46,
2015-12-7,48,
2015-12-8,45,
2015-12-9,48,
2015-12-10,56,
2015-12-11,56,
2015-12-12,61,
2015-12-13,61,
2015-12-14,60,Rain
2015-12-15,61,Rain
2015-12-16,50,Rain
2015-12-17,55,Rain
2015-12-18,48,Rain
2015-12-19,38,
2015-12-20,39,
2015-12-21,48,
2015-12-22,58,Rain
2015-12-23,58,Rain
2015-12-24,68,Rain
2015-12-25,62,Rain
2015-12-26,53,Rain
2015-12-27,54,Rain
2015-12-28,40,Rain
2015-12-29,40,Rain
2015-12-30,43,Rain
2015-12-31,45,Rain
